TP_PROB	MIN	Q1	Q2	Q3	MAX
0.0	112	395	462	548	3665
0.01	112	395	462	548	3665
0.02	109	385	455	535	3605
0.03	92	345	406	480	2007
0.04	70	140	169	203	1864
0.05	69	123	149	179	1851
0.06	57	106	124	148	1820
0.07	51	103	121	143	1818
0.08	51	102	119	142	1815
0.09	50	102	119	142	1776
0.1	50	102	119	141	1714
0.11	48	92	107	127	1277
0.12	46	85	99	116	741
0.13	42	77	91	106	672
0.14	38	64	74	84	657
0.15	34	59	68	78	653
0.16	32	58	66	76	140
0.17	32	57	65	75	139
0.18	32	56	64	75	138
0.19	32	56	64	75	138
0.2	32	56	64	75	136
0.21	32	56	64	75	136
0.22	32	56	64	74	136
0.23	32	56	64	74	135
0.24	32	56	64	74	134
0.25	32	55	64	73	132
0.26	32	55	64	73	132
0.27	32	55	63	73	130
0.28	32	54	63	72	129
0.29	32	54	63	71	126
0.3	32	53	62	71	117
0.31	32	53	61	70	113
0.32	32	53	61	70	113
0.33	32	53	61	70	113
0.34	32	53	61	70	113
0.35	32	53	61	70	113
0.36	32	53	61	70	113
0.37	32	53	61	70	113
0.38	32	52	61	70	113
0.39	32	52	61	69	112
0.4	31	52	60	69	112
0.41	31	52	60	69	112
0.42	31	52	60	69	112
0.43	31	52	60	69	112
0.44	31	52	60	69	112
0.45	31	52	60	69	112
0.46	31	52	60	69	111
0.47	31	52	60	69	111
0.48	31	52	60	69	110
0.49	31	52	59	69	108
0.5	31	52	59	68	107
0.51	31	52	59	68	107
0.52	30	51	59	68	106
0.53	29	51	59	67	106
0.54	29	51	59	67	106
0.55	29	51	58	67	105
0.56	29	50	58	67	104
0.57	29	50	58	66	102
0.58	29	49	57	65	100
0.59	29	49	57	65	100
0.6	29	49	56	64	99
0.61	28	48	56	64	97
0.62	28	48	55	62	96
0.63	28	47	54	61	95
0.64	27	42	49	56	90
0.65	26	41	48	55	90
0.66	26	41	47	54	90
0.67	25	40	46	53	88
0.68	25	39	45	53	86
0.69	25	39	45	52	85
0.7	23	37	44	51	84
0.71	21	34	41	47	76
0.72	18	32	38	45	69
0.73	17	31	36	42	64
0.74	14	27	32	38	60
0.75	14	27	32	38	60
0.76	14	27	32	38	60
0.77	14	27	32	38	60
0.78	14	27	32	38	60
0.79	14	27	32	38	60
0.8	14	27	32	38	60
0.81	14	27	32	38	60
0.82	14	27	32	38	60
0.83	14	27	32	38	60
0.84	14	27	32	38	60
0.85	14	27	32	38	60
0.86	14	27	31	38	60
0.87	14	27	31	38	60
0.88	14	27	31	37	60
0.89	13	26	31	37	60
0.9	13	26	31	37	59
0.91	13	25	30	36	56
0.92	13	25	30	35	56
0.93	13	25	30	35	56
0.94	13	24	29	34	54
0.95	11	23	27	33	52
0.96	11	20	25	30	49
0.97	8	16	20	25	44
0.98	6	12	16	21	42
0.99	0	0	0	0	0
1.0	0	0	0	0	0
