TP_PROB	MIN	Q1	Q2	Q3	MAX
0.0	3707611	3904150	3932001	4036213	4960513
0.01	3707611	3904150	3932001	4036213	4960513
0.02	3703770	3899557	3927811	4030790	4946927
0.03	3691191	3887156	3915679	4014341	4914071
0.04	3667397	3864617	3893103	3985687	4865802
0.05	3659079	3856252	3885112	3976319	4848897
0.06	3650686	3848422	3877181	3966725	4829958
0.07	3637568	3835968	3864559	3952528	4804844
0.08	3621535	3820918	3849544	3935728	4775587
0.09	3619645	3818783	3847424	3933568	4771643
0.1	3615586	3813981	3842409	3928753	4763653
0.11	3605532	3802863	3831125	3916940	4749376
0.12	3601594	3798386	3826504	3911904	4743199
0.13	3597425	3793617	3821755	3906525	4736373
0.14	3592300	3788071	3816212	3900878	4727985
0.15	3587175	3782259	3810594	3895133	4720144
0.16	3582821	3778258	3806613	3891302	4713527
0.17	3580228	3774743	3802937	3887214	4708949
0.18	3574398	3767850	3796120	3879650	4699643
0.19	3565460	3756474	3784892	3868201	4686801
0.2	3560237	3750590	3778951	3861793	4677290
0.21	3552649	3742464	3770896	3853223	4664098
0.22	3551466	3740962	3769397	3851726	4662075
0.23	3550157	3739387	3767851	3849898	4659486
0.24	3548524	3737340	3765797	3847771	4656410
0.25	3546464	3734779	3763421	3844742	4652851
0.26	3543982	3731611	3760436	3841381	4649046
0.27	3542663	3729965	3758881	3839612	4646615
0.28	3541363	3728507	3757449	3837783	4644331
0.29	3540685	3727688	3756611	3836816	4643064
0.3	3539770	3726615	3755522	3835582	4641565
0.31	3538791	3725466	3754441	3834360	4639937
0.32	3537355	3723742	3752745	3832550	4637284
0.33	3536591	3722853	3751869	3831616	4635990
0.34	3536189	3722261	3751281	3830966	4635027
0.35	3535462	3721269	3750325	3829947	4633680
0.36	3534534	3720039	3749165	3828719	4632270
0.37	3532404	3717596	3746688	3826107	4629149
0.38	3530857	3715753	3744766	3824144	4626826
0.39	3527776	3712067	3741161	3820301	4622788
0.4	3526903	3711028	3740143	3819047	4621167
0.41	3526035	3709873	3738982	3817941	4619678
0.42	3524724	3708133	3737311	3816065	4617432
0.43	3523005	3706022	3735158	3813718	4614755
0.44	3517434	3699610	3728525	3806702	4606625
0.45	3514565	3696012	3724865	3802935	4601920
0.46	3512286	3693094	3721995	3799839	4598120
0.47	3509973	3690384	3719257	3797085	4594020
0.48	3507262	3686981	3715855	3793584	4589857
0.49	3503508	3682651	3711465	3789130	4584948
0.5	3501809	3680654	3709446	3786869	4582261
0.51	3498505	3676854	3705597	3782755	4577300
0.52	3496193	3674336	3703151	3780240	4573336
0.53	3493839	3671624	3700413	3777282	4569448
0.54	3488270	3665826	3694538	3771257	4561160
0.55	3483672	3660667	3689369	3765884	4553751
0.56	3478732	3654939	3683601	3759984	4547429
0.57	3472566	3648111	3676692	3752939	4539597
0.58	3468750	3643760	3672240	3748275	4533174
0.59	3458292	3632032	3660359	3736200	4520408
0.6	3454553	3627758	3656044	3731794	4515228
0.61	3443117	3614944	3642999	3718342	4499024
0.62	3380108	3547739	3574995	3650599	4432810
0.63	3377493	3544554	3571869	3647206	4428035
0.64	3364862	3531343	3558505	3633525	4409353
0.65	3360118	3525686	3552841	3627789	4402066
0.66	3356212	3521040	3548210	3623014	4395181
0.67	3352367	3516038	3543285	3617908	4389426
0.68	3342055	3504819	3531755	3605884	4373558
0.69	3337928	3500108	3527138	3601109	4368104
0.7	3335548	3497462	3524407	3598329	4364273
0.71	3330819	3492439	3519404	3593161	4357159
0.72	3327119	3488123	3515001	3588216	4351732
0.73	3322771	3482651	3509457	3582051	4344790
0.74	3308759	3467061	3493836	3564403	4321829
0.75	3303652	3461158	3487912	3558257	4314798
0.76	3297161	3453607	3480444	3550544	4306072
0.77	3288941	3444197	3470957	3540536	4294759
0.78	3270287	3422875	3449539	3518029	4249899
0.79	3260587	3411183	3437764	3505857	4238582
0.8	3251853	3401077	3427639	3495462	4227140
0.81	3246698	3395143	3421701	3489343	4216340
0.82	3244902	3393216	3419764	3487415	4214024
0.83	3241716	3389815	3416328	3483931	4209975
0.84	3237628	3385531	3411978	3479571	4204406
0.85	3228926	3376312	3402761	3470342	4194337
0.86	3217663	3364606	3391035	3458378	4181521
0.87	3213978	3360727	3387072	3454335	4176968
0.88	3200571	3346448	3372766	3439900	4162468
0.89	3191710	3337381	3363701	3430707	4152485
0.9	3168315	3313154	3339308	3406395	4128887
0.91	3161732	3306534	3332575	3398939	4120306
0.92	3099027	3239342	3264743	3331558	4053728
0.93	3072710	3210885	3236098	3302572	4023639
0.94	3068114	3206226	3231470	3297587	4017829
0.95	3062183	3200588	3225926	3291458	4010775
0.96	3047144	3186133	3211312	3276326	3989564
0.97	2991914	3130796	3155761	3217200	3903929
0.98	2962405	3101548	3126504	3187174	3872398
0.99	1016992	1065126	1075471	1141421	1865707
1.0	0	0	0	0	0
